Année, Population, Aieux, Aieules
19601.7311,,624,
19602.4893,,625,
19604.5923,,626,
19605.5419,,627,
19605.7485,,628,
19606.1722,,629,
19607.0160,,630,
19607.1396,,631,
19608.2607,,632,
19609.5898,,633,
19609.6485,,634,
19611.2205,,635,
19611.9755,,636,
19612.0837,,637,
19612.1194,,638,
19612.2108,,639,
19613.9192,,640,
19614.5497,,641,
19617.3162,,642,
19617.5958,,643,
19617.8201,,644,
19619.6249,,645,
19619.7741,,646,
19619.8810,,647,
19620.2660,,648,
19620.3059,,649,
19621.3760,,650,
19621.7117,,651,
19622.4969,,652,
19622.9937,,653,
19623.0743,,654,
19623.7304,,655,
19623.9272,,656,
19624.2341,,657,
19624.7366,,658,
19625.4367,,659,
19625.7657,,660,
19625.9975,,661,
19626.2549,,662,
19627.3168,,663,
19629.0491,,664,
19629.5592,,665,
19632.2455,,666,
19633.0397,,667,
19633.3963,,668,
19635.4255,,669,
19635.6768,,670,
19636.5978,,671,
19636.7187,,672,
19637.0246,,673,
19639.6243,,674,
19641.1815,,675,
19641.4203,,676,
19641.6965,,677,
19642.4850,,678,
19642.9521,,679,
19643.1256,,680,
19644.7318,,681,
19644.8576,,682,
19645.0855,,683,
19645.1085,,684,
19647.2187,,685,
19648.2218,,686,
19648.5486,,687,
19648.5970,,688,
19648.6499,,689,
19648.7473,,690,
19649.8192,,691,
19650.7157,,692,
19652.4677,,693,
19653.1307,,694,
19653.4431,,695,
19653.9951,,696,
19654.9959,,697,
19656.2885,,698,
19656.6339,,699,
19656.8455,,700,
19657.9721,,701,
19659.6675,,702,
19659.8966,,703,
19660.0796,,704,
19660.4999,,705,
19661.3865,,706,
19661.5034,,707,
19661.9315,,708,
19662.0552,,709,
19662.7256,,710,
19663.0028,,711,
19663.2722,,712,
19663.3187,,713,
19664.0669,,714,
19664.3721,,715,
19664.5527,,716,
19664.9096,,717,
19665.4344,,718,
19665.6199,,719,
19665.8766,,720,
19666.3105,,721,
19668.7884,,722,
19669.2526,,723,
19669.2581,,724,
19669.5379,,725,
19669.5454,,726,
19669.8497,,727,
19669.9060,,728,
19669.9192,,729,
19670.5505,,730,
19671.4709,,731,
19672.0180,,732,
19672.0657,,733,
19672.3521,,734,
19672.7981,,735,
19673.7042,,736,
19674.3617,,737,
19674.3749,,738,
19674.4114,,739,
19675.3000,,740,
19675.4027,,741,
19675.5380,,742,
19676.0540,,743,
19676.6417,,744,
19676.6946,,745,
19678.1993,,746,
19678.7348,,747,
19679.1817,,748,
19679.2945,,749,
19679.4591,,750,
19679.5414,,751,
19679.5503,,752,
19679.8674,,753,
19679.9950,,754,
19680.4532,,755,
19681.6327,,756,
19681.9310,,757,
19683.9344,,758,
19684.2947,,759,
19684.6842,,760,
19685.7810,,761,
19686.0652,,762,
19686.2985,,763,
19687.6221,,764,
19688.1116,,765,
19688.2530,,766,
19689.6117,,767,
19689.6957,,768,
19690.2235,,769,
19690.8049,,770,
19691.3128,,771,
19691.4940,,772,
19692.0421,,773,
19692.1418,,774,
19692.2501,,775,
19693.0566,,776,
19693.4216,,777,
19693.5126,,778,
19693.5812,,779,
19693.6650,,780,
19694.8618,,781,
19695.6510,,782,
19695.9168,,783,
19696.4826,,784,
19696.6276,,785,
19696.8219,,786,
19697.3749,,787,
19698.1141,,788,
19698.1504,,789,
19698.3243,,790,
19698.8841,,791,
19698.9186,,792,
19698.9304,,793,
19699.6324,,794,
19699.6602,,795,
19700.8333,,796,
19701.2024,,797,
19702.4127,,798,
19702.5567,,799,
19702.6577,,800,
19702.8401,,801,
19702.9423,,802,
19703.0895,,803,
19704.7936,,804,
19704.8605,,805,
19705.0304,,806,
19705.3165,,807,
19705.3381,,808,
19706.3606,,809,
19706.5903,,810,
19707.2032,,811,
19708.4340,,812,
19708.5546,,813,
19708.7518,,814,
19709.2311,,815,
19709.2696,,816,
19709.4610,,817,
19709.7873,,818,
19710.3803,,819,
19710.6426,,820,
19711.2522,,821,
19711.3220,,822,
19711.3810,,823,
19711.4292,,824,
19712.1307,,825,
19712.5461,,826,
19713.0813,,827,
19713.2771,,828,
19713.3585,,829,
19713.6375,,830,
19713.7387,,831,
19714.0554,,832,
19714.1368,,833,
19714.6843,,834,
19714.8427,,835,
19715.0406,,836,
19715.2567,,837,
19715.4950,,838,
19715.6545,,839,
19717.4614,,840,
19718.1566,,841,
19718.4373,,842,
19718.5810,,843,
19718.6360,,844,
19719.1751,,845,
19719.4293,,846,
19719.8420,,847,
19719.9421,,848,
19720.7337,,849,
19720.9345,,850,
19721.0114,,851,
19721.0682,,852,
19721.2424,,853,
19721.7004,,854,
19721.8999,,855,
19722.9113,,856,
19723.3781,,857,
19723.4233,,858,
19724.3433,,859,
19724.3680,,860,
19725.2188,,861,
19725.4283,,862,
19725.4586,,863,
19725.4818,,864,
19725.6496,,865,
19725.7073,,866,
19725.7906,,867,
19726.1319,,868,
19726.7053,,869,
19727.0215,,870,
19727.0960,,871,
19728.3405,,872,
19728.6312,,873,
19728.6685,,874,
19728.7716,,875,
19728.8645,,876,
19729.0658,,877,
19730.4461,,878,
19730.4705,,879,
19731.2856,,880,
19731.4402,,881,
19731.5598,,882,
19732.0259,,883,
19732.5092,,884,
19733.0898,,885,
19733.7635,,886,
19733.9374,,887,
19734.2204,,888,
19734.4344,,889,
19734.7306,,890,
19734.8896,,891,
19735.2172,,892,
19735.5311,,893,
19735.6815,,894,
19736.3606,,895,
19736.7223,,896,
19736.7482,,897,
19736.9314,,898,
19737.4302,,899,
19737.5273,,900,
19737.7581,,901,
19737.8153,,902,
19737.8157,,903,
19737.9535,,904,
19738.6062,,905,
19738.9798,,906,
19739.3265,,907,
19739.3417,,908,
19740.0227,,909,
19740.4011,,910,
19740.6527,,911,
19740.9949,,912,
19741.0876,,913,
19741.6113,,914,
19742.0517,,915,
19742.1443,,916,
19742.1632,,917,
19742.2916,,918,
19743.1434,,919,
19743.2217,,920,
19743.7493,,921,
19743.8284,,922,
19744.6014,,923,
19744.6695,,924,
19744.7417,,925,
19744.8664,,926,
19744.8900,,927,
19745.1828,,928,
19745.3054,,929,
19745.4722,,930,
19745.6549,,931,
19745.9076,,932,
19745.9413,,933,
19747.2559,,934,
19747.3434,,935,
19747.5560,,936,
19747.6668,,937,
19747.7542,,938,
19748.2893,,939,
19749.0370,,940,
19749.1019,,941,
19749.3532,,942,
19749.7756,,943,
19749.8204,,944,
19750.0236,,945,
19750.1124,,946,
19750.1767,,947,
19750.5917,,948,
19750.7113,,949,
19750.7424,,950,
19750.9513,,951,
19751.0664,,952,
19752.1435,,953,
19752.3206,,954,
19752.5613,,955,
19752.9602,,956,
19753.1182,,957,
19753.5684,,958,
19754.4200,,959,
19755.5094,,960,
19755.5609,,961,
19756.4528,,962,
19756.5376,,963,
19756.7772,,964,
19757.1466,,965,
19757.2479,,966,
19757.2756,,967,
19757.4761,,968,
19757.6550,,969,
19757.8558,,970,
19758.0201,,971,
19758.5631,,972,
19758.9588,,973,
19760.0459,,974,
19760.0945,,975,
19760.6082,,976,
19760.8138,,977,
19761.1971,,978,
19761.6278,,979,
19762.0409,,980,
19762.1155,,981,
19762.5589,,982,
19762.6166,,983,
19762.8905,,984,
19763.7093,,985,
19763.9993,,986,
19764.7156,,987,
19764.7273,,988,
19764.7860,,989,
19765.2500,,990,
19765.5044,,991,
19765.8083,,992,
19766.0007,,993,
19766.3161,,994,
19766.4996,,995,
19766.7054,,996,
19766.8256,,997,
19767.0631,,998,
19767.5024,,999,
19767.6031,,1000,
19767.6985,,1001,
19767.9331,,1002,
19768.6627,,1003,
19769.0100,,1004,
19769.0196,,1005,
19769.0537,,1006,
19769.1824,,1007,
19769.3581,,1008,
19769.4030,,1009,
19769.7078,,1010,
19769.7180,,1011,
19771.0490,,1012,
19772.2872,,1013,
19772.3367,,1014,
19772.3434,,1015,
19772.6629,,1016,
19772.8573,,1017,
19773.4035,,1018,
19774.5419,,1019,
19774.8080,,1020,
19774.9718,,1021,
19775.0643,,1022,
19775.3903,,1023,
19775.6776,,1024,
19775.9430,,1025,
19776.0751,,1026,
19776.0845,,1027,
19776.4169,,1028,
19776.5967,,1029,
19776.8286,,1030,
19776.9270,,1031,
19776.9338,,1032,
19777.0209,,1033,
19777.0220,,1034,
19777.4658,,1035,
19777.9016,,1036,
19777.9259,,1037,
19777.9316,,1038,
19777.9679,,1039,
19778.0257,,1040,
19778.1389,,1041,
19778.3296,,1042,
19778.7735,,1043,
19778.8435,,1044,
19779.5631,,1045,
19779.9862,,1046,
19780.6858,,1047,
19780.8830,,1048,
19781.4877,,1049,
19781.7798,,1050,
19781.9007,,1051,
19782.1164,,1052,
19782.5244,,1053,
19782.8144,,1054,
19783.0246,,1055,
19783.0708,,1056,
19783.1415,,1057,
19783.1691,,1058,
19783.8244,,1059,
19784.1568,,1060,
19784.9235,,1061,
19784.9650,,1062,
19785.6143,,1063,
19785.9577,,1064,
19786.1071,,1065,
19786.2412,,1066,
19786.9947,,1067,
19787.0682,,1068,
19787.5343,,1069,
19787.6548,,1070,
19787.7040,,1071,
19787.8417,,1072,
19788.3291,,1073,
19788.3744,,1074,
19788.4068,,1075,
19788.6421,,1076,
19788.7027,,1077,
19788.7563,,1078,
19788.9003,,1079,
19788.9555,,1080,
19789.3231,,1081,
19789.3909,,1082,
19789.5252,,1083,
19789.5976,,1084,
19789.6471,,1085,
19789.6962,,1086,
19789.9130,,1087,
19790.0113,,1088,
19790.4637,,1089,
19791.2321,,1090,
19791.5319,,1091,
19791.9304,,1092,
19792.1155,,1093,
19792.6133,,1094,
19792.8328,,1095,
19793.1165,,1096,
19793.3103,,1097,
19793.5611,,1098,
19793.9342,,1099,
19793.9517,,1100,
19794.1721,,1101,
19794.4077,,1102,
19794.6156,,1103,
19794.6425,,1104,
19795.0393,,1105,
19795.7037,,1106,
19795.7496,,1107,
19795.7694,,1108,
19795.8903,,1109,
19796.1422,,1110,
19796.3732,,1111,
19796.6894,,1112,
19796.7717,,1113,
19796.7915,,1114,
19796.8290,,1115,
19796.9454,,1116,
19797.0343,,1117,
19797.2469,,1118,
19797.9864,,1119,
19798.1493,,1120,
19798.3183,,1121,
19798.3466,,1122,
19798.3612,,1123,
19798.4852,,1124,
19798.8115,,1125,
19798.8906,,1126,
19798.8910,,1127,
19799.0312,,1128,
19799.1370,,1129,
19799.2561,,1130,
19799.5088,,1131,
19799.6953,,1132,
19799.7750,,1133,
19799.9675,,1134,
19800.3328,,1135,
19801.6379,,1136,
19801.7443,,1137,
19802.2696,,1138,
19802.4186,,1139,
19802.9315,,1140,
19802.9758,,1141,
19803.0218,,1142,
19803.3552,,1143,
19803.5253,,1144,
19803.5666,,1145,
19803.7379,,1146,
19803.9091,,1147,
19804.6489,,1148,
19804.6722,,1149,
19804.8024,,1150,
19804.8462,,1151,
19804.9314,,1152,
19804.9483,,1153,
19805.0962,,1154,
19805.2697,,1155,
19805.6500,,1156,
19805.6718,,1157,
19806.2916,,1158,
19806.3156,,1159,
19806.3986,,1160,
19806.8546,,1161,
19806.9727,,1162,
19807.1026,,1163,
19807.5886,,1164,
19807.7160,,1165,
19808.2564,,1166,
19808.4771,,1167,
19808.4991,,1168,
19808.5264,,1169,
